sale_id,client,product,amount,country,totalValue
75,Chucho Smitten,Roasted Sweet Corn,442.9,France,8888.17
76,Rani Slipper,Almond Crunch Granola Bars,649.37,Philippines,9145.43
77,Miltie Hackwell,Chocolate Chip Pancake Mix,175.12,China,327.78
78,Halsey Keedy,Balsamic Vinaigrette,89.13,Ethiopia,140.39
79,Virge Musslewhite,Frozen Cauliflower Rice,832.3,Norway,1309.42
80,Juliana Abthorpe,Collapsible Storage Crates,770.03,Indonesia,4931.7
81,Conway Malloy,Motorcycle Phone Mount,308.58,Honduras,346.09
82,Joli Redd,Sweet and Spicy Barbecue Sauce,744.25,United States,4516.78
83,Heloise Berends,Compact Shoe Rack,240.9,Norway,6065.33
84,Tiena Bensley,Travel Laundry Bag,238.5,China,7633.07
85,Bing Morforth,Beef Jerky,237.6,Thailand,7978.54
86,Matilda Lovel,Organic Apples,222.88,Denmark,340.7
87,Billy Gilstin,Electric Milk Frother,535.37,Nigeria,200.89
88,Daveen Ravelus,Collapsible Pet Dog Bowl,59.33,El Salvador,4961.21
89,Delphine Duffitt,Pineapple Chunks (canned),913.57,Indonesia,3538.86
90,Torrin Mellonby,Roasted Vegetable Medley,589.28,China,3424.37
91,Audre De Freitas,Portable Air Compressor,633.52,Peru,265.92
92,Kyle Frane,Wireless Smart Plug,957.37,Sweden,8953.12
93,Chrystal Mines,LED Strip Light Kit,95.33,China,2937.16
94,Mignon Macura,Cold Brew Coffee Concentrate,125.99,France,5794.02
95,Claudie Stredder,Avocados,185.61,Philippines,326.59
96,Norean Widdocks,Foldable Picnic Table,891.95,Brazil,2155.69
97,Thibaud MacCauley,Sweet Chili Sauce,807.22,Ukraine,1121.32
98,Cinderella Wines,Vegan Taco Seasoning,659.11,Thailand,1793.09
99,Carlynne Collete,Mobile Workbench,570.79,Russia,556.79
100,Dominique Mougenel,Electric Heat Press Machine,779.46,China,6385.77
