sale_id,client,product,amount,country,totalValue
69,Kylynn Sergison,Garlic Herb Grilled Chicken,361.96,Serbia,3320.54
70,Giusto Goatcher,Faux Fur Coat,649.96,Brazil,4048.22
71,Parrnell Mallya,Raspberry Tart,610.58,Brazil,6609.25
72,Richart Gomez,Set of Silicone Baking Molds,365.31,Thailand,1853.46
73,Yetta Petticrew,Teriyaki Chicken Wings,858.38,Indonesia,226.46
74,Hoebart Attoe,Cauliflower Pizza Crust,559.68,France,5285.24
75,Teddy Duffyn,Adjustable Bar Stools,56.99,Philippines,4445.85
76,Jolie Podd,Hiking Water Bottle with Filter,395.8,China,672.17
77,Wernher Wayt,Ethically-Sourced Coffee Beans,468.46,Thailand,8229.77
78,Danna Henriksson,Graphic Sweatshirt,889.58,Brazil,2145.87
79,Fawn Ingreda,Dog Waste Bag Dispenser,412.18,Papua New Guinea,3434.09
80,Ruth Glanvill,Outdoor Adventure Kit,450.71,Ukraine,8473.86
81,Taite Ginman,Rice Pilaf Mix,328.67,China,4824.42
82,Shandee Reece,Dark Chocolate Raisins,394.66,China,7747.16
83,Glen Mallows,Beef Stroganoff Mix,247.17,Sweden,4098.03
84,Antonin Heffer,Pet Safety Belt for Car,235.44,Ukraine,3188.66
85,Myrtie Besnardeau,Set of Herb Garden Markers,157.58,Czech Republic,5751.54
86,Bonnibelle Espadater,Eco-Friendly Notepad,140.39,Brazil,2992.01
87,Morrie Mariel,Vegetable Spiralizer,769.32,Philippines,5278.3
88,Rance Crepel,Pet Grooming Glove,799.74,Spain,2419.21
89,Bryn Aires,Puzzle Mat,268.88,North Korea,86.98
90,Bobine Gorick,Personal Blender with Travel Lid,218.99,Estonia,3042.08
91,Becka McCleary,Cauliflower Gnocchi,634.02,Russia,7383.7
92,Bennie Towell,Tomato Paste,428.11,Mexico,5438.43
93,Fenelia Morcom,Wooden Puzzle Game,230.75,Kenya,6484.57
94,Ibrahim Kertess,Flavored Popcorn Mix,970.28,Portugal,2649.41
95,Gabrielle Majury,Zucchini Noodles,114.02,Estonia,6625.37
96,Gilli Figgs,Adjustable Laptop Stand,104.47,United States,6423.64
97,Vyky Spowart,Asian Stir-Fry Kit,4.88,Indonesia,5642.82
98,Enoch Darbey,Smartphone Holder for Car,314.28,Mongolia,9678.05
99,Huey Piel,Electric Can Opener,640.32,Libya,5443.27
100,Emanuele Hilley,Car Sunshade,256.62,Ukraine,4764.07
